100079,Ashley Farrell,North East,CrossFit New Windsor,CrossFit New Windsor,Female,26,--,--,--,--,--,--,--,--,--,--,--,--,--,--
10008,Micheal Dorion,,,,Male,25,--,185 lb,0:00,0:00,0:00,0:00,--,0:00,0:00,--,--,--,--,--
100080,Russell Baruffi,Northern California,United Barbell,CrossFit SOMA,Male,31,5'8",166 lb,4:05,8:46,5:44,28:03,--,--,--,205 lb,--,335 lb,265 lb,--
100081,Parker Gray,South West,CrossFit Now,CrossFit Now,Male,17,5'10",158 lb,--,--,--,--,--,--,--,--,--,245 lb,200 lb,35
100082,Adam Bombicino,Canada East,CROSSFIT POISE,CrossFit Poise,Male,29,5'8",185 lb,4:37,8:46,--,25:45,315,--,22:45,275 lb,--,500 lb,405 lb,35
100083,Kate deShetler,South Central,CrossFit 979,CrossFit 979,Female,21,--,--,--,--,--,--,--,--,--,--,--,--,--,--
100085,Steve Warrenburg,North West,,Rimrock CrossFit,Male,45,5'6",188 lb,--,--,--,--,--,--,--,--,--,--,--,--
100086,Wayne Cissell,North West,TheLAB - Eastlake CrossFit,CrossFit Eastlake,Male,36,5'9",195 lb,4:02,--,--,20:15,--,1:20,20:15,--,165 lb,365 lb,165 kg,35
100087,Matthew Earl,North Central,CrossFit Gravity,CrossFit Gravity,Male,32,6'3",220 lb,--,--,--,--,--,--,22:50,135 lb,135 lb,225 lb,225 lb,--
100088,Sean Beale,Europe,,Reebok CrossFit Connect,Male,33,6'2",95 kg,4:37,--,3:37,--,--,--,23:14,--,--,--,--,--
100089,Daniella Symister,Canada East,CrossFit Markham,CrossFit Markham,Female,18,5'8",--,--,--,5:18,--,--,--,--,120 lb,100 lb,225 lb,205 lb,--
10009,David Hicks,South Central,Crossfit Dallas Central II,CrossFit Dallas Central,Male,38,6'0",200 lb,3:38,0:00,0:00,0:00,--,0:57,0:00,--,--,515 lb,355 lb,42
100090,marco vargas,Southern California,CFO let em Know,CrossFit Ohana,Male,23,5'0",190 lb,--,--,--,--,--,--,--,225 lb,155 lb,415 lb,370 lb,--
100091,Tom Townsend,North Central,,CrossFit Owasso,Male,38,6'0",175 lb,4:40,9:44,--,24:09,297,1:10,21:50,205 lb,175 lb,410 lb,315 lb,34
100094,Patrick Wirtanen,North Central,CrossFit ForeFront,CrossFit Forefront,Male,31,5'10",195 lb,12:47,--,7:30,--,--,2:31,0:00,175 lb,135 lb,325 lb,240 lb,10
100096,Janice McLean,Mid Atlantic,LoCo CrossFit,LoCo CrossFit,Female,33,5'1",138 lb,6:57,--,7:40,--,217,--,34:13,105 lb,65 lb,185 lb,135 lb,--
100097,Sarah Robb,Central East,Crossfit Broad Ripple,CrossFit Broad Ripple,Female,29,5'3",150 lb,--,--,--,--,--,--,--,75 lb,75 lb,210 lb,175 lb,10
100098,Josh Price,Mid Atlantic,LoCo CrossFit,LoCo CrossFit,Male,30,6'4",210 lb,5:27,9:56,3:48,--,324,1:10,28:00,245 lb,175 lb,412 lb,405 lb,21
100099,adam Vineyard,South Central,,,Male,29,6'0",190 lb,4:00,--,--,0:00,--,1:00,22:30,265 lb,215 lb,455 lb,385 lb,30
10010,Regina Petersen,North Central,CrossFit Omaha,CrossFit Omaha,Female,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--
100100,royce williams,North Central,CrossFit Body Tech,CrossFit Body Tech,Male,47,6'0",200 lb,--,--,--,--,--,--,--,--,--,--,--,--
100101,Zachary Koch,North Central,,CrossFit 151,Male,29,6'2",175 lb,5:34,9:50,--,24:24,252,--,20:26,185 lb,155 lb,315 lb,255 lb,--
100103,Lance Chabarria,South West,CrossFit Surge,CrossFit Surge,Male,21,5'6",150 lb,--,--,--,--,--,--,--,200 lb,--,--,--,36
100104,Tiffany Loui,Southern California,CrossFit 858,CrossFit 858,Female,32,5'2",--,--,--,--,--,--,--,--,--,--,--,--,--
100106,Stephanie Graham,South Central,CrossFit Granbury,CrossFit Granbury,Female,26,--,--,--,--,--,--,--,--,--,--,--,--,--,--
100107,Jack McAnespy,Canada East,CrossFit Moncton,CrossFit Moncton,Male,35,6'0",185 lb,--,--,--,--,--,--,--,185 lb,145 lb,365 lb,--,--
100108,Erin Fine,South West,,CrossFit Tempest,Female,35,5'4",127 lb,5:22,--,3:16,--,--,--,--,145 lb,100 lb,270 lb,205 lb,18
10011,Dan Banks,Canada East,CrossFit Crux,CrossFit Crux,Male,34,6'0",230 lb,0:00,0:00,0:00,0:00,--,0:00,0:00,--,--,530 lb,425 lb,--
